"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1006.4","26.2","96","0.2","0","1.4","269","0.0","0.00"
"02","1005.8","26.2","95","0.3","244","1.7","238","0.0","0.00"
"03","1005.3","26.4","91","0.6","233","3.2","257","0.0","0.00"
"04","1005.6","26.0","92","0.4","252","1.7","259","0.0","0.00"
"05","1005.9","25.5","95","0.1","0","1.2","228","0.0","0.00"
"06","1006.5","25.6","95","0.2","0","1.2","262","0.0","0.00"
"07","1006.9","28.2","85","0.7","222","2.2","244","0.0","0.50"
"08","1007.1","31.7","70","0.7","217","2.6","202","0.0","1.40"
"09","1007.0","33.0","62","0.9","234","4.0","206","0.0","2.20"
"10","1006.7","34.5","58","0.9","212","4.5","277","0.0","2.80"
"11","1006.4","34.4","66","0.6","180","3.7","113","0.0","3.30"
"12","1005.5","34.3","66","1.0","186","4.5","175","0.0","3.50"
"13","1004.7","35.6","60","0.5","161","4.5","207","0.0","3.50"
"14","1004.0","35.3","67","0.8","148","3.9","151","0.0","3.30"
"15","1004.0","33.7","68","0.4","168","3.6","162","0.0","2.60"
"16","1004.0","32.8","69","0.3","119","3.6","122","0.0","1.60"
"17","1004.2","29.8","81","0.3","19","4.3","128","0.0","0.10"
"18","1004.9","29.1","87","0.4","17","1.3","62","0.0","0.00"
"19","1005.7","28.9","89","0.5","62","2.0","122","0.0","0.00"
"20","1005.9","28.7","88","0.5","75","2.1","49","0.0","0.00"
"21","1006.0","27.1","97","0.0","0","1.5","64","0.5","0.00"
"22","1005.5","27.0","98","0.0","0","1.3","62","0.0","0.00"
"23","1005.4","26.4","99","0.0","0","1.0","90","0.0","0.00"
"24","1004.8","26.0","99","0.0","0","1.0","125","0.0","0.00"
