"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1002.8","24.6","99","0.0","0","0.0","0","0.0","0.00"
"02","1002.3","24.4","99","0.0","0","0.0","0","0.0","0.00"
"03","1002.0","23.9","100","0.0","0","0.0","0","0.0","0.00"
"04","1002.2","23.5","100","0.0","0","0.0","0","0.0","0.00"
"05","1002.4","23.9","100","0.0","0","1.6","264","0.0","0.00"
"06","1002.3","23.9","100","0.0","0","0.6","284","0.0","0.00"
"07","1002.9","25.3","98","0.1","0","1.2","213","0.0","0.20"
"08","1003.4","30.2","75","0.2","0","2.2","266","0.0","1.20"
"09","1003.2","32.3","62","0.1","0","1.5","223","0.0","2.00"
"10","1003.2","32.9","63","1.2","64","3.9","57","0.0","2.70"
"11","1002.4","33.1","66","1.3","78","4.5","67","0.0","3.30"
"12","1002.0","32.7","68","1.6","67","4.7","96","0.0","3.30"
"13","1001.1","33.4","63","1.3","67","5.0","105","0.0","3.50"
"14","1000.1","32.1","67","1.3","56","5.1","104","0.0","2.90"
"15","999.6","30.8","72","1.2","84","4.0","108","0.0","1.70"
"16","999.4","30.0","77","1.2","68","5.1","106","0.0","0.90"
"17","999.9","29.1","83","1.1","72","4.6","55","0.0","0.30"
"18","1000.1","28.6","86","0.7","42","3.7","110","0.0","0.00"
"19","1000.0","27.1","87","0.0","0","3.0","41","0.0","0.00"
"20","1001.0","25.5","98","0.2","0","1.8","231","4.0","0.00"
"21","1001.7","24.2","99","0.1","0","4.8","274","3.5","0.00"
"22","1001.6","24.1","100","0.0","0","3.2","314","5.0","0.00"
"23","1000.2","24.0","100","0.0","0","1.3","242","1.0","0.00"
"24","1000.2","24.0","100","0.0","0","0.4","259","0.0","0.00"
