"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.1","244","0.0","0.00"
"02","1.4","222","0.0","0.00"
"03","1.2","210","0.0","0.00"
"04","0.3","210","0.0","0.00"
"05","0.8","210","0.0","0.00"
"06","1.0","205","0.0","0.00"
"07","0.0","0","0.0","0.00"
"08","1.0","220","0.0","0.20"
"09","1.5","232","0.0","0.50"
"10","1.6","193","0.0","0.70"
"11","1.9","243","0.0","1.20"
"12","2.7","35","0.0","1.30"
"13","3.3","73","0.0","0.90"
"14","3.1","5","0.0","0.30"
"15","2.3","10","0.0","0.30"
"16","2.5","358","0.0","0.20"
"17","1.6","354","0.0","0.10"
"18","0.5","354","0.0","0.00"
"19","0.7","17","0.0","0.00"
"20","0.5","16","0.0","0.00"
"21","0.6","17","0.0","0.00"
"22","0.3","19","0.0","0.00"
"23","0.6","20","0.0","0.00"
"24","0.9","313","0.0","0.00"
