"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1000.9","25.5","99","0.1","0","1.3","212","0.0","0.00"
"02","1000.5","25.2","99","0.2","0","2.1","195","0.0","0.00"
"03","999.9","25.1","99","0.3","230","2.3","209","0.0","0.00"
"04","999.5","24.8","99","0.0","0","1.6","203","0.0","0.00"
"05","999.6","24.8","100","0.1","0","1.7","229","0.0","0.00"
"06","999.5","24.6","100","0.0","0","1.0","217","0.0","0.00"
"07","999.9","25.3","99","0.3","223","2.0","212","0.0","0.20"
"08","1001.0","27.3","90","1.3","214","3.0","181","0.0","0.70"
"09","1001.7","29.4","82","0.3","271","2.8","203","0.0","1.10"
"10","1000.8","31.8","72","0.6","171","2.9","264","0.0","1.70"
"11","1000.7","33.1","66","0.6","244","2.4","179","0.0","2.30"
"12","999.6","33.7","66","0.2","0","2.2","324","0.0","2.40"
"13","999.5","34.1","67","0.6","116","2.3","143","0.0","2.70"
"14","999.3","33.5","68","0.6","122","3.4","85","0.0","2.80"
"15","999.4","32.4","74","0.3","118","2.8","74","0.0","1.40"
"16","999.7","30.7","79","0.1","0","2.4","148","0.0","0.60"
"17","999.8","30.3","84","0.0","0","1.1","184","0.0","0.30"
"18","999.8","28.3","90","0.0","0","1.3","234","0.0","0.00"
"19","1000.0","27.8","93","0.0","0","0.0","0","0.0","0.00"
"20","1000.5","27.4","95","0.0","0","1.2","214","0.0","0.00"
"21","1000.6","26.8","96","0.0","0","0.0","0","0.0","0.00"
"22","1001.4","27.1","94","0.0","0","1.1","222","0.0","0.00"
"23","1001.3","27.2","93","0.0","0","2.1","252","0.0","0.00"
"24","1000.3","26.5","96","0.0","0","0.7","245","0.0","0.00"
