"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.2","47","0.0","0.00"
"02","0.1","0","0.0","0.00"
"03","1.7","254","0.5","0.00"
"04","1.8","222","0.5","0.00"
"05","1.5","225","1.0","0.00"
"06","2.0","28","0.5","0.00"
"07","1.6","39","0.0","0.00"
"08","3.2","78","0.0","0.10"
"09","2.7","262","0.0","0.20"
"10","2.5","214","0.0","0.60"
"11","3.0","217","0.0","1.30"
"12","3.8","220","0.0","1.20"
"13","3.1","222","0.0","0.80"
"14","1.8","244","0.0","0.50"
"15","2.8","263","0.0","0.60"
"16","2.2","302","0.0","0.50"
"17","1.6","322","0.0","0.20"
"18","0.0","0","0.0","0.00"
"19","0.0","0","0.0","0.00"
"20","0.0","0","0.0","0.00"
"21","0.4","339","0.0","0.00"
"22","0.0","0","0.0","0.00"
"23","0.0","0","0.0","0.00"
"24","0.0","0","0.0","0.00"
