"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.0","0","0.0","0.00"
"02","0.6","209","0.0","0.00"
"03","0.3","199","0.0","0.00"
"04","0.0","0","0.0","0.00"
"05","0.6","199","0.0","0.00"
"06","0.3","217","0.0","0.00"
"07","1.7","240","0.0","0.00"
"08","1.2","215","0.0","0.60"
"09","1.7","240","0.0","0.90"
"10","2.8","246","0.0","2.00"
"11","2.3","142","0.0","2.40"
"12","1.9","273","0.0","1.70"
"13","2.5","91","0.0","1.50"
"14","3.1","98","0.0","1.60"
"15","2.4","169","0.0","1.10"
"16","2.5","136","0.0","0.60"
"17","1.6","149","0.0","0.50"
"18","1.2","216","0.0","0.10"
"19","0.5","165","0.0","0.00"
"20","0.0","0","0.0","0.00"
"21","0.5","133","0.0","0.00"
"22","1.0","262","0.0","0.00"
"23","0.9","263","0.0","0.00"
"24","1.0","303","0.0","0.00"
