"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.2","212","0.0","0.00"
"02","0.6","221","0.0","0.00"
"03","0.7","232","0.0","0.00"
"04","1.3","202","0.0","0.00"
"05","1.2","226","0.0","0.00"
"06","0.5","192","0.0","0.00"
"07","1.2","236","0.0","0.10"
"08","2.3","221","0.0","0.80"
"09","2.9","272","0.0","1.70"
"10","2.8","241","0.0","2.50"
"11","3.1","213","0.0","3.20"
"12","3.2","141","0.0","2.50"
"13","3.6","224","0.0","1.40"
"14","3.0","42","0.0","0.60"
"15","2.2","155","0.0","0.60"
"16","2.5","95","0.0","0.50"
"17","1.7","138","0.0","0.20"
"18","0.8","122","0.0","0.00"
"19","1.3","251","0.0","0.00"
"20","0.8","215","0.0","0.00"
"21","0.9","227","0.0","0.00"
"22","0.8","227","0.0","0.00"
"23","1.0","250","0.0","0.00"
"24","1.4","293","0.0","0.00"
