"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1010.6","23.1","100","0.4","61","1.3","61","0.0","0.00"
"02","1010.1","22.7","100","0.0","0","1.0","50","0.0","0.00"
"03","1009.6","22.5","100","0.0","0","0.5","334","0.0","0.00"
"04","1009.7","22.1","100","0.0","0","0.6","335","0.0","0.00"
"05","1010.1","22.1","100","0.0","0","0.9","320","0.0","0.00"
"06","1010.5","21.8","100","0.0","0","0.6","297","0.0","0.00"
"07","1011.1","22.2","100","0.0","0","0.4","297","0.0","0.00"
"08","1011.7","24.6","96","1.3","222","2.9","223","0.0","0.60"
"09","1012.3","25.7","87","0.8","232","2.7","247","0.0","0.70"
"10","1012.3","26.0","83","1.5","228","3.8","216","0.0","0.70"
"11","1010.9","25.5","89","1.4","241","4.2","232","&","0.70"
"12","1009.3","27.6","77","0.9","258","2.8","269","0.0","1.00"
"13","1009.5","28.9","73","0.7","252","2.8","255","0.0","1.20"
"14","1009.3","28.6","75","0.7","254","2.1","252","0.0","1.00"
"15","1008.5","29.4","75","0.1","0","1.9","273","0.0","1.00"
"16","1008.3","27.8","82","0.0","0","1.3","129","0.0","0.50"
"17","1008.5","26.5","88","0.0","0","1.0","138","0.0","0.10"
"18","1009.6","25.1","95","0.0","0","0.3","169","0.0","0.00"
"19","1010.0","24.6","98","0.0","0","1.1","209","0.0","0.00"
"20","1009.9","24.1","98","0.4","230","1.9","244","0.5","0.00"
"21","1009.9","24.0","99","0.7","229","1.4","226","0.0","0.00"
"22","1010.4","23.8","99","0.8","264","2.3","268","0.0","0.00"
"23","1010.1","23.6","99","0.1","0","1.7","256","0.0","0.00"
"24","1009.3","23.5","100","0.5","251","1.5","251","0.0","0.00"
