"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.0","0","0.0","0.00"
"02","0.7","68","0.0","0.00"
"03","1.1","179","0.0","0.00"
"04","0.3","182","0.0","0.00"
"05","0.0","0","0.0","0.00"
"06","0.4","182","0.0","0.00"
"07","0.9","196","0.0","0.00"
"08","1.7","200","0.0","0.10"
"09","2.3","216","0.0","0.30"
"10","1.5","210","0.0","0.60"
"11","3.0","25","0.0","1.70"
"12","4.1","85","0.0","0.40"
"13","3.2","40","0.0","0.30"
"14","2.8","73","0.0","0.30"
"15","4.4","76","0.0","0.30"
"16","3.9","71","0.0","0.30"
"17","6.1","68","0.0","0.10"
"18","5.2","3","0.0","0.00"
"19","3.5","60","0.0","0.00"
"20","3.6","48","0.0","0.00"
"21","3.0","46","0.0","0.00"
"22","2.3","83","0.0","0.00"
"23","0.9","267","0.0","0.00"
"24","2.0","219","0.0","0.00"
