"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1006.5","25.3","95","0.0","0","1.6","253","0.0","0.00"
"02","1006.3","24.8","97","0.1","0","0.8","194","0.0","0.00"
"03","1006.4","24.5","99","0.0","0","0.0","0","0.0","0.00"
"04","1006.2","24.3","99","0.0","0","1.2","212","0.0","0.00"
"05","1006.3","24.3","99","0.2","0","1.2","123","0.0","0.00"
"06","1006.5","24.5","98","0.2","0","1.5","222","0.0","0.00"
"07","1006.6","26.6","90","0.3","216","1.9","226","0.0","0.30"
"08","1007.0","30.2","76","0.9","223","3.0","220","0.0","1.30"
"09","1007.3","32.7","63","0.0","0","2.1","232","0.0","2.00"
"10","1007.1","33.5","64","0.5","306","2.0","290","0.0","2.70"
"11","1006.7","32.7","70","0.9","58","2.6","47","0.0","2.70"
"12","1006.4","34.5","67","0.7","130","4.3","91","0.0","3.20"
"13","1006.1","34.5","64","0.7","91","3.2","95","0.0","3.60"
"14","1005.9","34.3","68","1.1","85","4.0","68","0.0","3.40"
"15","1005.7","32.8","70","0.5","63","4.7","87","0.0","2.30"
"16","1005.5","29.9","80","0.2","0","3.0","13","0.0","0.40"
"17","1005.5","29.2","84","0.6","204","2.4","228","0.0","0.20"
"18","1005.4","28.1","87","0.2","0","2.2","230","0.0","0.20"
"19","1005.8","27.0","93","0.0","0","1.6","239","0.0","0.00"
"20","1005.7","26.4","96","0.0","0","0.8","222","0.0","0.00"
"21","1006.2","26.1","95","0.1","0","1.8","201","0.0","0.00"
"22","1006.1","26.0","97","0.0","0","1.1","208","0.0","0.00"
"23","1006.0","25.6","98","0.2","0","1.3","196","0.0","0.00"
"24","1005.2","25.5","98","0.0","0","1.3","196","0.0","0.00"
