"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1001.9","26.0","96","0.0","0","1.2","227","0.0","0.00"
"02","1000.9","25.8","95","0.2","0","1.1","233","0.0","0.00"
"03","1000.9","25.4","97","0.0","0","1.0","246","0.0","0.00"
"04","1000.9","25.1","98","0.0","0","0.6","151","0.0","0.00"
"05","1001.6","24.5","99","0.0","0","1.2","209","0.0","0.00"
"06","1002.3","24.4","97","0.2","0","1.4","230","0.0","0.00"
"07","1002.8","28.2","85","0.4","214","1.8","244","0.0","0.40"
"08","1003.4","30.1","77","0.4","231","2.1","191","0.0","1.10"
"09","1003.3","31.0","71","0.9","210","2.1","177","0.0","1.50"
"10","1002.7","31.3","69","0.4","194","2.2","228","0.0","1.20"
"11","1002.2","32.3","66","0.6","190","1.9","205","0.0","1.40"
"12","1001.9","32.9","63","0.4","42","1.9","208","0.0","1.50"
"13","1001.5","33.3","63","1.0","67","3.0","58","0.0","2.40"
"14","1001.0","34.1","57","1.1","100","3.0","28","0.0","3.20"
"15","1001.1","32.2","68","1.2","55","3.9","98","0.0","1.70"
"16","1001.4","31.9","68","0.9","74","4.3","99","0.0","1.50"
"17","1001.4","31.1","70","0.1","0","2.9","81","0.0","0.70"
"18","1001.8","29.6","77","0.0","0","1.3","37","0.0","0.20"
"19","1002.3","28.1","88","0.0","0","0.0","0","0.0","0.00"
"20","1002.1","27.7","91","0.0","0","0.0","0","0.0","0.00"
"21","1002.3","27.3","91","0.0","0","1.2","162","0.0","0.00"
"22","1003.1","26.7","94","0.0","0","0.0","0","0.0","0.00"
"23","1002.9","26.7","94","0.0","0","0.8","225","0.0","0.00"
"24","1002.8","26.0","94","0.0","0","1.0","201","0.0","0.00"
