"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1007.5","23.1","97","0.8","249","3.9","216","0.0","0.00"
"02","1007.1","22.8","95","0.4","259","3.2","284","0.0","0.00"
"03","1007.0","22.8","97","0.1","0","1.3","109","0.0","0.00"
"04","1007.6","22.7","98","0.0","0","0.4","139","0.0","0.00"
"05","1009.3","20.1","96","0.3","352","4.8","19","1.0","0.00"
"06","1010.5","19.5","98","0.0","0","2.3","355","1.5","0.00"
"07","1011.3","20.0","99","0.0","0","0.5","297","0.0","0.00"
"08","1012.0","20.2","100","0.4","247","1.1","247","0.5","0.00"
"09","1012.2","20.8","99","0.4","221","1.8","236","0.0","0.20"
"10","1011.8","24.5","80","0.8","205","2.6","297","0.0","1.70"
"11","1011.5","26.0","59","0.6","213","2.6","219","0.0","2.70"
"12","1010.6","27.3","59","0.4","356","1.6","228","0.0","1.70"
"13","1009.8","27.0","63","0.7","83","2.8","71","0.0","1.50"
"14","1008.9","27.6","59","0.6","27","2.6","68","0.0","1.90"
"15","1008.4","27.0","66","0.6","54","3.1","36","0.0","1.40"
"16","1008.1","26.2","66","0.8","51","3.1","66","0.0","1.30"
"17","1008.6","24.8","75","0.3","39","2.4","15","0.0","0.50"
"18","1008.5","23.5","82","0.0","0","2.1","68","0.0","0.00"
"19","1008.8","22.4","90","0.0","0","0.0","0","0.0","0.00"
"20","1009.6","22.1","92","0.0","0","0.4","354","0.0","0.00"
"21","1010.2","22.1","93","0.0","0","0.6","5","0.0","0.00"
"22","1009.5","21.8","93","0.1","0","1.0","217","0.0","0.00"
"23","1008.6","20.7","96","0.0","0","1.2","250","0.0","0.00"
"24","1008.1","20.1","98","0.0","0","0.0","0","0.0","0.00"
