"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1005.0","25.5","100","0.0","0","1.2","248","0.0","0.00"
"02","1005.0","25.2","100","0.0","0","0.4","231","0.0","0.00"
"03","1005.0","25.4","100","0.0","0","0.8","265","0.0","0.00"
"04","1005.3","25.0","100","0.0","0","0.0","0","0.0","0.00"
"05","1005.4","24.6","100","0.0","0","0.9","228","0.0","0.00"
"06","1005.8","25.0","100","0.1","0","1.0","222","0.0","0.00"
"07","1006.2","27.8","92","0.6","219","2.2","208","0.0","0.50"
"08","1006.6","30.7","78","0.6","234","1.9","253","0.0","1.40"
"09","1006.7","32.5","72","0.3","133","2.1","240","0.0","2.10"
"10","1006.5","32.8","70","0.5","5","2.6","89","0.0","2.70"
"11","1006.2","33.4","68","1.0","50","3.6","77","0.0","3.30"
"12","1005.9","33.0","68","1.3","42","4.6","90","0.0","3.50"
"13","1005.6","33.2","66","1.3","83","4.8","102","0.0","3.60"
"14","1005.6","33.2","65","1.0","62","4.6","92","0.0","3.40"
"15","1005.3","33.9","65","1.2","45","3.9","357","0.0","2.90"
"16","1005.2","32.9","71","1.0","71","3.6","37","0.0","1.90"
"17","1005.0","30.5","81","0.4","44","2.4","91","0.0","0.80"
"18","1005.2","29.4","84","0.5","85","1.7","101","0.0","0.10"
"19","1005.4","28.2","90","0.1","0","2.3","79","0.0","0.00"
"20","1005.8","27.4","95","0.0","0","0.8","319","0.0","0.00"
"21","1006.1","27.1","97","0.0","0","0.3","118","0.0","0.00"
"22","1006.4","26.7","98","0.0","0","0.1","0","0.0","0.00"
"23","1006.2","26.3","99","0.0","0","0.3","75","0.0","0.00"
"24","1005.6","26.2","99","0.0","0","0.0","0","0.0","0.00"
