"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.3","245","0.0","0.00"
"02","0.0","0","0.0","0.00"
"03","0.2","0","0.0","0.00"
"04","0.6","246","0.0","0.00"
"05","0.8","245","0.0","0.00"
"06","0.6","246","0.0","0.00"
"07","1.4","250","0.0","0.10"
"08","1.8","257","0.0","0.60"
"09","1.8","234","0.0","1.70"
"10","2.2","219","0.0","2.30"
"11","4.0","146","0.0","3.20"
"12","4.3","119","0.0","3.40"
"13","5.3","146","0.0","3.30"
"14","3.9","124","0.0","3.00"
"15","4.6","139","0.0","2.40"
"16","3.1","147","0.0","1.00"
"17","2.3","45","0.0","0.40"
"18","2.4","221","0.0","0.00"
"19","2.4","141","0.0","0.00"
"20","0.8","204","0.0","0.00"
"21","0.6","52","0.0","0.00"
"22","0.9","27","0.0","0.00"
"23","0.5","97","0.0","0.00"
"24","0.4","180","0.0","0.00"
