"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1006.8","26.8","95","0.0","0","0.0","0","0.0","0.00"
"02","1006.2","26.4","95","0.0","0","0.0","0","0.0","0.00"
"03","1005.3","26.0","96","0.0","0","0.0","0","0.0","0.00"
"04","1005.1","26.0","95","0.0","0","1.1","231","0.0","0.00"
"05","1005.6","25.7","95","0.0","0","0.8","230","0.0","0.00"
"06","1006.0","25.7","96","0.1","0","1.0","190","0.0","0.00"
"07","1006.4","28.8","84","0.3","228","2.1","219","0.0","0.50"
"08","1006.8","32.5","66","1.0","231","2.5","209","0.0","1.40"
"09","1006.7","34.6","59","0.9","226","2.8","266","0.0","2.20"
"10","1006.5","35.1","59","0.8","234","2.8","226","0.0","2.80"
"11","1006.2","36.1","56","0.5","148","4.1","130","0.0","3.10"
"12","1005.5","36.5","57","0.9","152","3.9","246","0.0","3.50"
"13","1005.1","36.8","56","0.8","147","3.6","95","0.0","3.70"
"14","1004.9","36.8","57","0.9","152","4.3","174","0.0","2.80"
"15","1005.0","35.7","59","0.7","157","3.9","98","0.0","2.20"
"16","1005.1","33.1","68","0.6","185","4.8","199","0.0","1.10"
"17","1005.5","33.5","68","0.2","0","2.3","128","0.0","0.80"
"18","1006.3","30.8","78","0.3","187","2.4","95","0.0","0.20"
"19","1006.7","29.8","82","0.0","0","1.8","227","0.0","0.00"
"20","1007.2","28.6","88","0.0","0","0.5","188","0.0","0.00"
"21","1007.3","27.8","92","0.0","0","0.0","0","0.0","0.00"
"22","1008.0","28.2","86","0.0","0","0.5","219","0.0","0.00"
"23","1007.9","27.4","91","0.0","0","0.2","0","0.0","0.00"
"24","1007.5","26.9","93","0.0","0","0.9","205","0.0","0.00"
