"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1005.2","25.9","93","0.0","0","1.0","255","0.0","0.00"
"02","1005.1","25.3","94","0.0","0","0.6","220","0.0","0.00"
"03","1004.9","25.3","92","0.1","0","1.6","225","0.0","0.00"
"04","1005.3","24.8","95","0.0","0","1.0","183","0.0","0.00"
"05","1005.3","24.5","94","0.0","0","1.1","210","0.0","0.00"
"06","1005.5","24.3","97","0.0","0","0.0","0","0.0","0.00"
"07","1006.0","27.3","88","0.5","240","2.1","210","0.0","0.50"
"08","1006.5","31.2","71","0.6","253","2.3","191","0.0","1.40"
"09","1006.6","33.1","60","0.6","251","2.5","255","0.0","2.20"
"10","1006.7","34.6","55","0.5","292","1.9","297","0.0","2.90"
"11","1006.8","35.3","60","0.8","196","3.5","215","0.0","3.30"
"12","1006.4","35.6","56","0.8","109","3.5","76","0.0","3.50"
"13","1006.1","35.6","54","0.8","149","3.5","100","0.0","3.60"
"14","1006.1","35.7","53","0.6","176","4.5","84","0.0","3.30"
"15","1005.9","34.4","61","0.7","165","3.3","144","0.0","2.60"
"16","1005.8","34.0","64","0.7","174","4.5","123","0.0","1.60"
"17","1005.7","33.5","67","0.2","0","4.3","129","0.0","1.00"
"18","1005.9","31.8","73","0.0","0","2.1","115","0.0","0.60"
"19","1006.4","29.6","81","0.0","0","1.5","227","0.0","0.00"
"20","1006.9","27.9","89","0.0","0","0.0","0","0.0","0.00"
"21","1007.4","27.3","90","0.0","0","0.0","0","0.0","0.00"
"22","1008.3","27.0","94","0.0","0","0.5","243","0.0","0.00"
"23","1008.5","26.8","95","0.0","0","1.0","250","0.0","0.00"
"24","1007.9","26.7","96","0.0","0","1.0","254","0.0","0.00"
