"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1004.6","25.6","96","0.0","0","1.4","273","0.0","0.00"
"02","1004.1","25.0","97","0.0","0","1.0","211","0.0","0.00"
"03","1003.9","24.7","98","0.0","0","0.0","0","0.0","0.00"
"04","1003.7","24.6","99","0.0","0","1.4","220","0.0","0.00"
"05","1003.9","24.3","99","0.0","0","1.3","221","0.0","0.00"
"06","1004.5","24.4","100","0.0","0","0.0","0","0.0","0.00"
"07","1005.5","26.6","92","0.6","215","2.7","244","0.0","0.40"
"08","1005.9","29.9","76","0.8","237","2.9","219","0.0","1.20"
"09","1006.3","32.4","67","0.5","175","2.3","210","0.0","2.00"
"10","1005.7","33.8","60","0.4","154","1.9","197","0.0","2.70"
"11","1005.5","34.4","59","0.9","99","3.4","97","0.0","3.20"
"12","1005.1","35.4","54","0.6","74","3.1","117","0.0","3.40"
"13","1004.9","35.2","54","0.9","61","3.5","113","0.0","3.50"
"14","1004.8","34.8","58","0.8","89","3.6","101","0.0","3.20"
"15","1004.2","35.0","55","0.6","112","4.3","112","0.0","2.60"
"16","1003.7","35.3","53","0.2","0","2.3","91","0.0","1.90"
"17","1003.4","34.0","58","0.4","60","1.7","92","0.0","1.00"
"18","1003.5","28.7","82","0.0","0","2.2","38","0.0","0.10"
"19","1003.7","27.1","91","0.0","0","0.0","0","0.0","0.00"
"20","1004.2","26.7","94","0.0","0","0.0","0","0.0","0.00"
"21","1005.0","26.5","96","0.0","0","0.0","0","0.0","0.00"
"22","1005.0","26.8","95","0.0","0","0.0","0","0.0","0.00"
"23","1005.1","26.2","95","0.0","0","0.8","136","0.0","0.00"
"24","1004.6","25.9","95","0.1","0","1.5","198","0.0","0.00"
