"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1007.6","19.6","99","0.0","0","0.5","266","0.0","0.00"
"02","1007.0","19.1","100","0.0","0","0.4","263","0.0","0.00"
"03","1006.8","18.6","100","0.0","0","0.0","0","0.0","0.00"
"04","1006.8","18.6","100","0.0","0","0.0","0","0.0","0.00"
"05","1007.5","18.3","100","0.0","0","0.0","0","0.0","0.00"
"06","1008.6","18.7","100","0.0","0","0.0","0","0.0","0.00"
"07","1009.2","19.8","100","0.3","223","1.3","242","0.0","0.20"
"08","1009.9","23.0","88","0.4","224","2.2","209","0.0","1.10"
"09","1010.1","26.2","74","0.6","215","2.8","256","0.0","1.90"
"10","1009.8","28.1","68","1.0","267","3.2","218","0.0","2.70"
"11","1009.2","29.5","61","1.1","254","3.2","258","0.0","3.20"
"12","1008.3","31.2","56","0.8","215","4.5","280","0.0","3.40"
"13","1007.1","31.8","58","1.0","155","3.6","134","0.0","3.50"
"14","1006.1","31.1","61","0.9","154","4.4","244","0.0","3.10"
"15","1005.5","30.2","65","0.8","157","4.5","151","0.0","1.50"
"16","1005.3","29.7","68","0.6","171","3.5","137","0.0","1.60"
"17","1005.3","27.5","76","0.5","208","3.7","184","0.0","0.40"
"18","1005.4","26.5","81","0.3","215","2.9","213","0.0","0.10"
"19","1005.5","25.4","87","0.1","0","1.1","99","0.0","0.00"
"20","1005.9","23.8","94","0.0","0","0.4","261","0.0","0.00"
"21","1006.2","23.5","96","0.0","0","0.0","0","0.0","0.00"
"22","1006.1","22.8","97","0.0","0","0.0","0","0.0","0.00"
"23","1005.6","22.2","99","0.0","0","0.0","0","0.0","0.00"
"24","1005.7","21.8","99","0.0","0","0.8","130","0.0","0.00"
