"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.9","201","0.0","0.00"
"02","0.3","218","0.0","0.00"
"03","0.0","0","0.0","0.00"
"04","0.0","0","0.0","0.00"
"05","0.0","0","0.0","0.00"
"06","0.9","241","0.0","0.00"
"07","0.8","238","0.0","0.00"
"08","2.4","214","0.0","0.10"
"09","2.7","208","0.0","1.10"
"10","3.2","212","0.0","1.80"
"11","3.2","196","0.0","2.40"
"12","3.1","227","0.0","2.80"
"13","3.8","183","0.0","2.40"
"14","4.6","138","0.0","1.60"
"15","3.1","151","0.0","0.60"
"16","2.9","129","0.0","0.30"
"17","2.7","126","0.0","0.10"
"18","1.0","343","0.0","0.00"
"19","1.1","66","0.0","0.00"
"20","0.0","0","0.0","0.00"
"21","0.0","0","0.0","0.00"
"22","0.0","0","0.0","0.00"
"23","0.4","258","0.0","0.00"
"24","1.1","229","0.0","0.00"
