"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1005.0","23.7","100","0.1","0","2.2","205","0.0","0.00"
"02","1004.3","23.6","100","0.0","0","1.4","231","0.0","0.00"
"03","1003.8","23.2","100","0.0","0","1.1","217","0.0","0.00"
"04","1003.8","23.2","100","0.0","0","1.1","209","0.0","0.00"
"05","1004.2","23.1","100","0.0","0","0.7","193","0.0","0.00"
"06","1005.0","23.0","100","0.0","0","1.5","266","0.0","0.00"
"07","1005.3","23.9","100","0.0","0","1.1","219","0.0","0.10"
"08","1006.2","25.4","97","0.0","0","1.1","235","0.0","0.50"
"09","1006.2","28.1","85","0.6","217","1.8","229","0.0","1.10"
"10","1006.2","30.9","77","0.4","274","2.5","324","0.0","2.00"
"11","1005.6","31.9","70","1.2","72","4.6","36","0.0","2.70"
"12","1004.9","31.5","75","2.1","66","6.0","75","0.0","2.70"
"13","1004.1","31.8","73","1.6","62","7.6","49","0.0","2.20"
"14","1003.6","30.2","76","2.6","62","8.1","76","0.0","2.30"
"15","1002.9","29.9","76","2.0","54","8.1","360","0.0","1.40"
"16","1003.5","29.1","76","1.7","58","6.3","73","0.0","0.60"
"17","1003.8","28.5","79","1.1","20","6.2","48","0.0","0.20"
"18","1004.4","27.7","84","1.3","63","6.3","80","0.0","0.00"
"19","1005.1","27.7","79","1.2","71","4.6","46","0.0","0.00"
"20","1006.3","26.1","92","1.2","61","5.8","328","0.0","0.00"
"21","1006.8","25.3","97","0.5","26","6.8","341","0.5","0.00"
"22","1007.0","24.8","99","0.0","0","2.4","62","0.0","0.00"
"23","1006.4","24.7","100","0.0","0","0.0","0","0.0","0.00"
"24","1006.2","24.6","100","0.0","0","0.5","96","0.0","0.00"
