"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1007.1","25.8","93","0.0","0","1.2","283","0.0","0.00"
"02","1007.2","25.7","94","0.1","0","1.6","266","0.0","0.00"
"03","1007.2","25.0","96","0.0","0","0.7","305","0.0","0.00"
"04","1007.5","24.7","96","0.1","0","0.8","204","0.0","0.00"
"05","1007.7","24.3","96","0.0","0","0.7","214","0.0","0.00"
"06","1008.1","24.7","94","0.2","0","1.2","183","0.0","0.00"
"07","1008.3","27.6","85","0.5","226","2.4","259","0.0","0.50"
"08","1008.1","31.4","66","0.8","224","3.1","203","0.0","1.50"
"09","1008.4","33.4","56","0.6","218","2.5","209","0.0","2.20"
"10","1008.3","34.3","53","0.8","262","2.9","254","0.0","2.90"
"11","1008.0","35.4","57","0.5","177","2.8","141","0.0","3.30"
"12","1007.3","35.4","58","0.9","122","4.3","83","0.0","3.60"
"13","1006.9","35.5","57","1.0","115","4.3","127","0.0","3.60"
"14","1006.7","35.5","56","0.8","161","3.9","135","0.0","3.40"
"15","1006.6","34.8","62","0.9","143","4.8","203","0.0","2.90"
"16","1006.6","34.5","61","0.8","184","4.3","195","0.0","1.80"
"17","1006.9","33.7","61","0.8","193","3.1","106","0.0","1.50"
"18","1007.5","30.0","77","0.1","0","3.3","225","0.0","0.00"
"19","1008.0","28.3","85","0.0","0","0.2","0","0.0","0.00"
"20","1008.3","27.4","89","0.0","0","0.0","0","0.0","0.00"
"21","1008.6","27.0","90","0.1","0","0.8","120","0.0","0.00"
"22","1008.4","26.5","90","0.0","0","0.9","250","0.0","0.00"
"23","1008.5","25.8","92","0.2","0","1.4","244","0.0","0.00"
"24","1008.0","26.0","92","0.0","0","1.6","241","0.0","0.00"
