"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1011.0","27.4","97","0.0","0","0.0","0","0.0","0.00"
"02","1010.5","27.1","98","0.2","0","1.2","211","0.0","0.00"
"03","1010.3","26.9","98","0.0","0","1.0","197","0.0","0.00"
"04","1010.3","26.5","99","0.2","0","2.0","211","0.0","0.00"
"05","1010.4","26.0","99","0.0","0","1.3","288","0.0","0.00"
"06","1010.5","26.0","99","0.1","0","1.1","251","0.0","0.00"
"07","1010.9","28.5","90","0.6","239","2.1","197","0.0","0.60"
"08","1010.8","31.2","73","0.9","228","2.6","218","0.0","1.50"
"09","1010.6","33.3","67","0.6","231","2.5","193","0.0","2.20"
"10","1010.3","34.6","60","0.6","209","2.6","201","0.0","2.90"
"11","1009.7","35.3","57","0.5","303","2.2","201","0.0","3.30"
"12","1008.9","35.9","57","0.5","132","2.5","234","0.0","3.50"
"13","1008.3","35.6","58","0.5","169","2.6","68","0.0","3.60"
"14","1008.2","35.8","58","0.5","122","2.6","160","0.0","3.40"
"15","1008.4","34.3","64","0.6","166","4.4","65","0.0","2.80"
"16","1008.3","34.6","65","0.4","160","3.7","100","0.0","2.10"
"17","1007.9","32.3","69","0.3","171","3.2","203","0.0","1.30"
"18","1008.4","30.5","82","0.1","0","1.6","111","0.0","0.20"
"19","1008.5","29.0","89","0.0","0","1.3","133","0.0","0.00"
"20","1008.8","28.0","94","0.0","0","0.0","0","0.0","0.00"
"21","1008.9","28.0","95","0.0","0","0.0","0","0.0","0.00"
"22","1009.2","27.8","97","0.0","0","0.0","0","0.0","0.00"
"23","1008.8","27.5","97","0.0","0","0.9","200","0.0","0.00"
"24","1008.7","27.8","94","0.2","0","0.9","183","0.0","0.00"
