"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.5","337","0.0","0.00"
"02","0.7","31","0.0","0.00"
"03","0.0","0","0.0","0.00"
"04","1.6","354","0.5","0.00"
"05","0.5","322","0.0","0.00"
"06","0.0","0","0.0","0.00"
"07","0.0","0","0.0","0.00"
"08","1.5","348","0.0","0.10"
"09","0.9","354","0.0","0.30"
"10","0.8","28","0.0","0.60"
"11","2.2","39","0.0","1.40"
"12","3.0","109","0.0","1.90"
"13","3.3","32","0.0","1.30"
"14","2.9","108","0.0","0.70"
"15","2.3","78","0.0","0.30"
"16","2.0","91","0.0","0.20"
"17","2.8","22","0.0","0.00"
"18","2.2","40","0.0","0.00"
"19","0.9","65","0.0","0.00"
"20","0.7","65","0.0","0.00"
"21","0.8","65","0.0","0.00"
"22","0.0","0","0.0","0.00"
"23","0.0","0","0.0","0.00"
"24","0.0","0","0.0","0.00"
