"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1015.4","22.5","100","0.0","0","0.0","0","0.0","0.00"
"02","1015.1","22.5","100","0.0","0","0.4","360","0.0","0.00"
"03","1014.2","21.9","100","0.0","0","0.0","0","0.0","0.00"
"04","1014.1","21.4","100","0.0","0","0.6","360","0.0","0.00"
"05","1014.1","21.3","100","0.0","0","0.0","0","0.0","0.00"
"06","1014.6","21.6","100","0.0","0","0.5","360","0.0","0.00"
"07","1014.7","22.2","100","0.1","0","0.8","360","0.0","0.00"
"08","1015.2","23.7","97","0.4","360","1.5","360","0.0","0.40"
"09","1015.5","25.8","82","0.3","357","2.0","354","0.0","1.00"
"10","1015.7","26.9","78","0.7","47","2.4","47","0.0","1.30"
"11","1015.1","27.0","75","1.8","79","4.5","102","0.0","1.80"
"12","1014.4","26.2","78","1.1","33","5.0","35","0.0","1.10"
"13","1013.6","25.1","81","0.8","34","4.1","4","0.0","0.50"
"14","1013.0","25.0","78","0.7","19","4.1","24","0.0","0.40"
"15","1013.2","25.1","81","0.0","0","3.7","71","0.0","0.40"
"16","1013.4","25.0","83","0.0","0","2.2","5","0.0","0.30"
"17","1013.5","24.1","89","0.0","0","0.9","354","0.0","0.10"
"18","1013.8","23.2","95","0.0","0","0.9","354","0.0","0.00"
"19","1014.3","22.8","97","0.0","0","0.4","354","0.0","0.00"
"20","1014.8","22.4","98","0.0","0","0.4","354","0.0","0.00"
"21","1015.1","22.0","99","0.2","0","0.6","354","0.0","0.00"
"22","1015.3","22.2","99","0.0","0","1.2","352","0.0","0.00"
"23","1015.2","22.3","98","0.0","0","1.4","296","0.0","0.00"
"24","1015.2","22.3","98","0.4","263","1.6","264","0.0","0.00"
