"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1000.1","26.6","93","1.9","14","8.3","15","0.0","0.00"
"02","999.2","26.3","95","2.2","37","8.7","59","1.0","0.00"
"03","999.0","26.0","97","1.9","23","8.6","19","1.0","0.00"
"04","997.0","25.9","97","1.9","24","7.3","75","1.5","0.00"
"05","995.6","25.9","98","2.7","23","8.9","43","4.5","0.00"
"06","996.7","25.6","99","3.0","38","9.3","351","10.0","0.00"
"07","995.6","25.4","100","2.9","14","11.2","353","13.5","0.00"
"08","995.0","25.4","100","3.7","75","11.2","136","32.5","0.00"
"09","995.5","25.8","100","3.5","24","13.5","50","20.5","0.00"
"10","994.1","25.3","100","3.8","27","13.1","34","24.0","0.00"
"11","993.0","23.9","100","4.4","49","13.9","65","17.0","0.00"
"12","990.8","24.1","100","4.5","43","14.5","56","7.5","0.00"
"13","988.4","24.8","100","5.5","56","14.8","46","3.0","0.00"
"14","986.9","25.2","99","4.6","62","19.9","89","10.0","0.00"
"15","986.5","25.5","96","3.8","101","18.2","107","8.0","0.00"
"16","987.2","25.4","99","3.6","122","17.9","90","7.5","0.00"
"17","987.4","25.3","100","2.4","148","15.3","102","15.0","0.00"
"18","988.7","25.3","99","1.6","157","14.5","196","11.0","0.00"
"19","990.3","25.1","99","1.7","175","9.7","175","14.5","0.00"
"20","991.0","25.0","99","1.9","184","14.7","215","11.0","0.00"
"21","991.9","25.2","98","2.9","176","13.7","154","8.0","0.00"
"22","991.9","25.2","97","2.2","167","11.7","146","5.0","0.00"
"23","993.3","25.2","95","2.6","175","13.1","233","1.0","0.00"
"24","993.9","25.2","95","1.4","208","12.0","236","0.0","0.00"
