"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1005.6","25.1","99","0.0","0","1.4","262","0.0","0.00"
"02","1005.3","25.0","100","0.0","0","1.2","207","0.0","0.00"
"03","1004.6","24.6","100","0.0","0","0.7","231","0.0","0.00"
"04","1004.7","24.2","100","0.0","0","0.0","0","0.0","0.00"
"05","1005.2","24.1","100","0.0","0","0.0","0","0.0","0.00"
"06","1005.7","24.5","100","0.1","0","1.3","206","0.0","0.00"
"07","1005.6","26.1","100","0.0","0","1.4","215","0.0","0.50"
"08","1006.2","29.6","80","0.6","71","2.0","92","0.0","1.50"
"09","1006.8","30.0","77","0.6","356","2.4","31","0.0","2.00"
"10","1006.6","31.8","71","1.0","51","3.0","70","0.0","2.30"
"11","1006.3","31.5","75","1.3","50","3.6","107","0.0","3.30"
"12","1006.0","31.7","76","1.5","66","4.1","107","0.0","3.30"
"13","1005.6","32.0","76","1.2","49","4.6","90","0.0","3.30"
"14","1005.1","32.4","77","0.9","83","4.2","81","0.0","2.60"
"15","1005.2","31.7","74","0.8","50","3.9","10","0.0","2.10"
"16","1005.3","29.9","83","0.3","43","3.0","47","0.0","0.80"
"17","1005.6","28.1","90","0.2","0","1.9","52","0.5","0.20"
"18","1006.2","27.3","95","0.0","0","1.0","67","0.5","0.10"
"19","1006.6","26.9","97","0.0","0","0.0","0","0.0","0.00"
"20","1007.4","26.7","98","0.0","0","0.4","354","0.0","0.00"
"21","1007.9","26.7","99","0.0","0","0.4","242","0.0","0.00"
"22","1007.7","26.3","99","0.0","0","1.0","219","0.0","0.00"
"23","1007.4","26.1","100","0.0","0","0.6","215","0.0","0.00"
"24","1007.4","26.2","100","0.0","0","0.8","217","0.0","0.00"
