"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","4.8","322","0.0","0.00"
"02","3.8","40","0.0","0.00"
"03","6.2","75","0.0","0.00"
"04","2.9","286","0.0","0.00"
"05","2.7","315","0.0","0.00"
"06","2.5","257","0.0","0.00"
"07","1.7","276","0.0","0.00"
"08","1.9","256","0.0","0.10"
"09","2.0","239","0.0","0.30"
"10","1.8","318","0.0","0.50"
"11","3.5","334","0.0","0.60"
"12","2.4","21","0.0","0.60"
"13","2.6","302","0.5","0.50"
"14","2.2","266","0.0","0.30"
"15","1.5","186","0.0","0.10"
"16","2.3","214","0.0","0.00"
"17","2.8","203","0.0","0.00"
"18","1.9","209","0.0","0.00"
"19","2.4","215","0.0","0.00"
"20","2.2","285","0.0","0.00"
"21","3.4","209","0.0","0.00"
"22","2.9","336","0.0","0.00"
"23","3.4","295","0.0","0.00"
"24","3.8","347","0.0","0.00"
