"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.0","0","0.5","0.00"
"02","0.0","0","0.0","0.00"
"03","0.0","0","0.5","0.00"
"04","0.0","0","0.0","0.00"
"05","0.0","0","0.0","0.00"
"06","0.0","0","0.0","0.00"
"07","1.2","59","0.0","0.00"
"08","1.0","272","0.0","0.10"
"09","1.9","254","0.0","0.50"
"10","2.3","221","0.0","0.80"
"11","1.7","195","0.0","1.00"
"12","3.3","114","0.0","1.50"
"13","3.5","22","0.0","2.20"
"14","3.6","75","0.0","1.20"
"15","3.4","67","0.0","0.20"
"16","2.5","74","0.0","0.10"
"17","1.7","348","1.5","0.10"
"18","0.9","40","0.0","0.00"
"19","0.0","0","0.0","0.00"
"20","0.8","275","0.0","0.00"
"21","1.3","265","0.0","0.00"
"22","1.1","225","0.0","0.00"
"23","0.0","0","0.0","0.00"
"24","0.3","225","0.5","0.00"
