"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.7","231","0.0","0.00"
"02","2.1","266","0.0","0.00"
"03","2.3","221","0.0","0.00"
"04","2.4","206","0.0","0.00"
"05","2.3","262","0.0","0.00"
"06","3.2","215","0.0","0.00"
"07","2.4","244","0.0","0.00"
"08","3.5","256","0.0","0.10"
"09","3.0","214","0.0","0.50"
"10","4.2","271","0.0","1.80"
"11","4.1","194","0.0","1.60"
"12","3.1","214","0.0","0.80"
"13","3.3","210","0.0","0.50"
"14","2.2","231","0.0","1.30"
"15","1.0","166","0.0","0.30"
"16","1.1","167","0.0","0.10"
"17","1.7","14","0.0","0.00"
"18","1.3","107","0.0","0.00"
"19","0.8","316","0.0","0.00"
"20","0.8","292","0.0","0.00"
"21","0.6","25","0.0","0.00"
"22","0.0","0","0.0","0.00"
"23","0.7","27","0.0","0.00"
"24","0.0","0","0.5","0.00"
