"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1009.2","25.0","97","0.4","16","2.8","28","0.0","0.00"
"02","1009.3","24.7","98","0.0","0","1.8","360","0.0","0.00"
"03","1009.6","24.3","99","0.0","0","1.3","18","0.0","0.00"
"04","1009.9","24.0","100","0.0","0","0.9","38","0.0","0.00"
"05","1010.8","24.1","100","0.0","0","0.3","38","0.0","0.00"
"06","1012.0","24.1","100","0.1","0","0.8","38","0.0","0.00"
"07","1013.2","23.3","100","0.4","33","2.9","26","2.0","0.00"
"08","1014.5","22.7","100","0.3","2","2.0","1","0.0","0.10"
"09","1015.4","22.8","97","0.0","0","1.5","15","0.0","0.20"
"10","1015.3","23.9","93","0.2","0","1.0","21","0.0","0.50"
"11","1014.8","24.3","90","0.5","360","1.5","360","0.0","0.60"
"12","1014.4","25.4","86","0.0","0","0.9","360","0.0","0.70"
"13","1013.6","25.5","84","0.3","40","1.7","40","0.0","0.80"
"14","1013.2","25.3","85","0.5","40","1.9","40","0.0","0.60"
"15","1013.3","24.5","90","0.0","0","1.5","40","0.0","0.30"
"16","1013.8","23.7","93","0.5","35","3.0","37","0.0","0.10"
"17","1014.5","23.1","94","0.3","360","3.8","20","0.0","0.00"
"18","1014.8","22.9","96","0.0","0","1.9","360","0.0","0.00"
"19","1015.7","22.9","98","0.0","0","0.0","0","0.0","0.00"
"20","1016.3","22.8","99","0.0","0","0.6","360","0.0","0.00"
"21","1016.5","22.8","99","0.2","0","1.1","360","0.0","0.00"
"22","1016.4","22.8","99","0.0","0","1.1","360","0.0","0.00"
"23","1016.3","22.6","99","0.2","0","0.8","360","0.0","0.00"
"24","1015.7","22.7","100","0.0","0","0.8","360","0.0","0.00"
