"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.0","0","0.0","0.00"
"02","0.0","0","0.0","0.00"
"03","0.0","0","0.0","0.00"
"04","0.0","0","0.5","0.00"
"05","0.5","328","0.0","0.00"
"06","0.0","0","0.0","0.00"
"07","0.0","0","0.0","0.00"
"08","0.9","278","0.0","0.20"
"09","2.0","251","0.0","1.10"
"10","1.8","202","0.0","1.90"
"11","2.2","233","0.0","2.70"
"12","2.6","34","0.0","2.20"
"13","4.1","13","0.0","2.70"
"14","3.7","41","0.0","1.50"
"15","3.0","18","0.0","0.50"
"16","2.9","35","0.0","0.70"
"17","2.5","107","0.0","0.30"
"18","1.5","80","0.0","0.00"
"19","0.6","47","0.0","0.00"
"20","0.0","0","0.0","0.00"
"21","0.3","1","0.0","0.00"
"22","1.0","228","0.0","0.00"
"23","0.6","228","0.0","0.00"
"24","1.0","232","0.0","0.00"
