"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.2","125","0.0","0.00"
"02","0.7","198","0.0","0.00"
"03","1.1","219","0.0","0.00"
"04","1.1","269","0.0","0.00"
"05","1.1","203","0.0","0.00"
"06","0.0","0","0.0","0.00"
"07","0.9","212","0.0","0.00"
"08","2.5","220","0.0","0.40"
"09","3.5","193","0.0","1.30"
"10","2.9","257","0.0","2.00"
"11","3.3","121","0.0","2.50"
"12","3.3","79","0.0","2.90"
"13","3.5","151","0.0","2.20"
"14","3.9","178","0.0","2.70"
"15","4.7","147","0.0","1.20"
"16","3.3","227","0.0","0.60"
"17","3.8","150","0.0","0.30"
"18","2.0","77","0.0","0.00"
"19","1.0","225","0.0","0.00"
"20","0.0","0","0.0","0.00"
"21","0.5","224","0.0","0.00"
"22","0.0","0","0.0","0.00"
"23","0.0","0","0.0","0.00"
"24","2.7","50","0.0","0.00"
