"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1004.2","21.6","96","0.0","0","0.7","26","0.0","0.00"
"02","1004.0","21.7","94","0.0","0","1.5","35","0.0","0.00"
"03","1004.2","21.9","95","0.0","0","2.3","290","0.0","0.00"
"04","1004.5","21.7","95","0.0","0","0.7","21","0.0","0.00"
"05","1004.6","21.6","97","0.0","0","0.0","0","0.0","0.00"
"06","1005.2","21.7","97","0.2","0","1.6","214","0.0","0.00"
"07","1005.8","22.9","93","0.4","234","2.3","216","0.0","0.30"
"08","1006.1","25.8","80","0.6","206","2.4","205","0.0","1.30"
"09","1006.0","27.5","66","0.9","34","2.2","120","0.0","2.20"
"10","1005.7","27.9","64","0.9","35","3.0","357","0.0","2.70"
"11","1005.5","28.2","69","1.2","51","3.6","32","0.0","2.40"
"12","1005.0","27.8","70","1.1","80","3.8","128","0.0","2.50"
"13","1004.6","28.2","68","0.9","67","4.4","119","0.0","2.50"
"14","1004.2","27.2","71","1.0","58","3.3","28","0.0","1.20"
"15","1004.0","27.2","75","0.8","51","3.2","43","0.0","1.10"
"16","1003.9","26.5","77","1.1","71","3.6","8","0.0","0.80"
"17","1004.1","25.7","81","0.6","65","2.9","81","0.0","0.30"
"18","1004.7","24.3","89","0.1","0","2.0","65","0.0","0.00"
"19","1005.4","23.2","96","0.0","0","0.8","341","5.0","0.00"
"20","1005.6","23.0","98","0.0","0","0.0","0","4.0","0.00"
"21","1006.0","22.8","99","0.0","0","1.0","212","2.0","0.00"
"22","1005.9","22.8","99","0.0","0","1.1","227","0.5","0.00"
"23","1005.4","22.7","100","0.2","0","1.8","249","0.0","0.00"
"24","1005.2","22.7","100","0.1","0","1.7","226","0.0","0.00"
