"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.2","205","0.0","0.00"
"02","1.6","216","0.0","0.00"
"03","0.7","212","0.0","0.00"
"04","0.9","213","0.0","0.00"
"05","0.6","216","0.0","0.00"
"06","1.1","207","0.0","0.00"
"07","1.5","210","0.0","0.00"
"08","1.9","204","0.0","0.10"
"09","3.1","204","0.0","0.60"
"10","2.9","242","0.0","1.50"
"11","2.4","259","0.0","1.70"
"12","2.1","276","0.0","2.30"
"13","1.9","23","0.0","0.80"
"14","1.8","111","0.0","0.70"
"15","2.3","36","0.0","0.70"
"16","2.4","47","0.0","0.40"
"17","1.3","73","0.0","0.10"
"18","0.5","58","0.0","0.00"
"19","0.0","0","0.0","0.00"
"20","0.0","0","0.0","0.00"
"21","0.0","0","0.0","0.00"
"22","0.0","0","0.0","0.00"
"23","0.0","0","0.0","0.00"
"24","0.5","354","0.0","0.00"
