"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.2","0","0.0","0.00"
"02","1.8","218","0.0","0.00"
"03","2.1","219","0.0","0.00"
"04","1.3","226","0.0","0.00"
"05","1.4","245","0.0","0.00"
"06","1.4","212","0.0","0.00"
"07","2.5","278","0.0","0.10"
"08","2.0","184","0.0","0.80"
"09","2.8","207","0.0","1.40"
"10","2.6","237","0.0","2.10"
"11","2.1","212","0.0","2.90"
"12","3.1","195","0.0","2.70"
"13","3.4","156","0.0","3.10"
"14","3.8","139","0.0","2.60"
"15","3.0","168","0.0","1.80"
"16","2.7","280","0.0","0.80"
"17","2.5","165","0.0","0.30"
"18","1.5","104","0.0","0.00"
"19","1.4","334","0.0","0.00"
"20","0.5","34","0.0","0.00"
"21","0.0","0","0.0","0.00"
"22","0.9","259","0.0","0.00"
"23","0.9","240","0.0","0.00"
"24","0.0","0","0.0","0.00"
