DateTime,Date,Month,Day,Hour,Minute,Weekday,WindSpeed,Pressure,Temperature,Humidity,Sunlight,sum_ele,sum_pos,high,ele,Power,SunlightPred,GlobalRad,Precp
2024-03-01 15:40:00,60.0,3,1,15,40,4,0.1733333333333333,1015.8133333333332,17.666666666666668,71.21222222222224,2720.1400000000003,0.4624365302598061,-0.9164403501285632,39.04,-0.8829475928589271,1.7155555555555555,2720.14,0.2333333333333334,0.0
2024-03-01 15:50:00,60.0,3,1,15,50,4,0.1309999999999999,1015.831,17.71,72.19800000000001,2849.5,0.4305986119669751,-0.92689299256763,39.04,-0.8829475928589271,1.805,2849.5,0.2166666666666667,0.0
2024-03-01 16:00:00,60.0,3,1,16,0,4,0.1299999999999999,1015.946,17.303,75.394,2470.834,0.3982154776030944,-0.9366721892483976,39.04,-0.8829475928589271,1.262,2470.83,0.2,0.0
2024-03-01 16:10:00,60.0,3,1,16,10,4,0.156,1015.985,17.019,76.838,2126.668,0.3814289337769339,-0.9437047689146438,39.04,-0.8829475928589271,0.875,2126.67,0.1666666666666671,0.0
2024-03-01 16:20:00,60.0,3,1,16,20,4,0.304,1016.141,16.666,78.856,1291.749,0.3645156460609574,-0.9503348265602212,39.04,-0.8829475928589271,0.366,1291.75,0.1333333333333335,0.0
2024-03-01 16:30:00,60.0,3,1,16,30,4,0.149,1016.226,16.585,81.06899999999999,1211.333,0.3474812345214075,-0.9565595342411696,39.04,-0.8829475928589271,0.328,1211.33,0.1,0.0
2024-03-01 16:40:00,60.0,3,1,16,40,4,0.409,1016.287,16.355,81.9,1662.583,0.3303313594724034,-0.9623762369090084,39.04,-0.8829475928589271,0.585,1662.58,0.0666666666666671,0.0
2024-03-01 16:50:00,60.0,3,1,16,50,4,0.471,1016.324,16.064,81.81800000000001,1033.416,0.3130717195950911,-0.967782453543201,39.04,-0.8829475928589271,0.249,1033.42,0.0333333333333335,0.0
2024-03-02 06:30:00,61.0,3,2,6,30,5,0.496,1019.625,14.323,86.962,280.66700000000003,0.0125801857815573,-0.9086506003093706,39.04,-0.8829475928589271,0.04,280.67,0.0,0.0
2024-03-02 06:40:00,61.0,3,2,6,40,5,0.305,1019.585,14.191999999999998,87.421,626.251,0.0125772718315182,-0.9091474205679932,39.04,-0.8829475928589271,0.145,626.25,0.0,0.0
2024-03-02 06:50:00,61.0,3,2,6,50,5,0.365,1019.67,14.248,88.513,1220.75,0.0125743578813723,-0.9096429504170052,39.04,-0.8829475928589271,0.445,1220.75,0.0,0.0
2024-03-02 07:00:00,61.0,3,2,7,0,5,0.078,1019.909,14.518,89.107,2030.084,0.0125714439311196,-0.9101371891530704,39.04,-0.8829475928589271,1.2029999999999998,2030.08,0.0,0.0
2024-03-02 07:10:00,61.0,3,2,7,10,5,0.4519999999999999,1019.673,14.524,89.155,2216.418,0.0125685299807601,-0.9106301360746848,39.04,-0.8829475928589271,1.569,2216.42,0.0166666666666666,0.0
2024-03-02 07:20:00,61.0,3,2,7,20,5,0.304,1019.877,14.336000000000002,90.625,1153.084,0.0125656160302938,-0.911121790482178,39.04,-0.8829475928589271,0.378,1153.08,0.0333333333333333,0.0
2024-03-02 07:30:00,61.0,3,2,7,30,5,0.034,1019.886,14.3,91.727,1477.583,0.0125627020797209,-0.9116121516777148,39.04,-0.8829475928589271,0.55,1477.58,0.05,0.0
2024-03-02 07:40:00,61.0,3,2,7,40,5,0.0,1020.004,14.449000000000002,92.824,3602.75,0.0125597881290413,-0.9121012189652946,39.04,-0.8829475928589271,3.219,3602.75,0.0666666666666666,0.0
2024-03-02 07:50:00,61.0,3,2,7,50,5,0.0,1020.225,14.276,93.176,2036.499,0.012556874178255,-0.9125889916507536,39.04,-0.8829475928589271,0.969,2036.5,0.0833333333333333,0.0
2024-03-02 08:00:00,61.0,3,2,8,0,5,0.069,1020.072,14.474,93.119,4572.8330000000005,0.0125539602273621,-0.913075469041766,39.04,-0.8829475928589271,5.5649999999999995,4572.83,0.1,0.5
2024-03-02 08:10:00,61.0,3,2,8,10,5,0.192,1020.116,14.916999999999998,92.384,7579.250999999999,0.0125510462763625,-0.9135606504478438,39.04,-0.8829475928589271,15.516,7579.25,0.1666666666666664,0.5
2024-03-02 08:20:00,61.0,3,2,8,20,5,0.174,1020.066,15.315,91.324,7975.249000000001,0.0125481323252564,-0.9140445351803392,39.04,-0.8829475928589271,15.906,7975.25,0.2333333333333328,0.5
2024-03-02 08:30:00,61.0,3,2,8,30,5,0.044,1020.17,15.64,91.795,7512.5,0.0125452183740437,-0.9145271225524436,39.04,-0.8829475928589271,12.632,7512.5,0.3,0.5
2024-03-02 08:40:00,61.0,3,2,8,40,5,0.0,1020.276,15.381,91.24,4851.5,0.0125423044227245,-0.9150084118791916,39.04,-0.8829475928589271,5.536,4851.5,0.3666666666666665,0.5
2024-03-02 08:50:00,61.0,3,2,8,50,5,0.0,1020.26,14.986,92.175,4291.916,0.0125393904712987,-0.9154884024774584,39.04,-0.8829475928589271,4.181,4291.92,0.4333333333333329,0.5
2024-03-02 09:00:00,61.0,3,2,9,0,5,0.1649999999999999,1020.07,15.237,91.565,7150.834,0.0125364765197665,-0.9159670936659636,39.04,-0.8829475928589271,12.725,7150.83,0.5,0.0
2024-03-02 09:10:00,61.0,3,2,9,10,5,0.052,1020.053,15.805,90.294,10986.667,0.0125335625681278,-0.9164444847652716,39.04,-0.8829475928589271,27.268,10986.67,0.5999999999999996,0.0
2024-03-02 09:20:00,61.0,3,2,9,20,5,0.4009999999999999,1020.032,16.145,89.093,11774.502,0.0125306486163827,-0.9169205750977908,39.04,-0.8829475928589271,31.213,11774.5,0.6999999999999993,0.0
2024-03-02 09:30:00,61.0,3,2,9,30,5,0.253,1020.02,16.538999999999998,88.074,11342.833,0.0125277346645311,-0.9173953639877772,39.04,-0.8829475928589271,28.825,11342.83,0.8,0.0
2024-03-02 09:40:00,61.0,3,2,9,40,5,0.0349999999999999,1019.955,16.509,89.136,9599.666,0.0125248207125732,-0.9178688507613324,39.04,-0.8829475928589271,20.171,9599.67,0.8999999999999997,0.0
2024-03-02 09:50:00,61.0,3,2,9,50,5,0.026,1019.97,16.95,88.405,12791.583,0.0125219067605088,-0.9183410347464078,39.04,-0.8829475928589271,36.158,12791.58,0.9999999999999992,0.0
2024-03-02 10:00:00,61.0,3,2,10,0,5,0.2009999999999999,1019.881,17.037,86.03299999999999,12686.084,0.0125189928083382,-0.918811915272803,39.04,-0.8829475928589271,36.432,12686.08,1.1,0.0
2024-03-02 10:10:00,61.0,3,2,10,10,5,0.0,1019.799,17.547,85.407,12158.75,0.0125160788560612,-0.919281491672168,39.04,-0.8829475928589271,34.725,12158.75,1.0666666666666669,0.0
2024-03-02 10:20:00,61.0,3,2,10,20,5,0.131,1019.88,16.964,79.88300000000001,6967.6669999999995,0.0125131649036779,-0.9197497632780036,39.04,-0.8829475928589271,9.191,6967.67,1.0333333333333337,0.0
2024-03-02 10:30:00,61.0,3,2,10,30,5,0.227,1019.973,16.847,79.522,14024.833,0.0125102509511884,-0.9202167294256628,39.04,-0.8829475928589271,41.352,14024.83,1.0,0.0
