"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","總和"
"01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.3","0.7","1.2","1.6","1.7","0.9","0.2","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.8"
"02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.2","0.3","0.4","0.8","0.9","0.5","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.5000000000000004"
"03","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.5","1.0","1.2","1.0","0.9","0.9","0.5","0.3","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.7"
"04","0.0","0.0","0.0","0.0","0.0","0.0","0.4","1.2","2.0","2.7","3.2","3.4","2.5","1.4","2.2","0.3","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","19.500000000000004"
"05","0.0","0.0","0.0","0.0","0.0","0.0","0.4","1.1","1.4","1.3","1.6","1.5","1.8","2.3","1.1","0.9","0.6","0.2","0.0","0.0","0.0","0.0","0.0","0.0","14.200000000000001"
"06","0.0","0.0","0.0","0.0","0.0","0.0","0.4","1.5","2.2","2.7","3.3","3.5","3.0","2.7","1.9","1.0","0.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0","22.6"
"07","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.9","1.1","2.2","2.8","2.0","1.7","0.4","0.2","0.3","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.1"
"08","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.6","1.0","0.9","0.6","0.7","0.8","0.1","0.4","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.3"
"09","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.5","1.3","2.0","2.0","0.9","0.9","0.6","0.4","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.0"
"10","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.4","1.1","2.4","2.7","3.2","3.4","1.9","1.0","1.0","0.7","0.1","0.0","0.0","0.0","0.0","0.0","0.0","18.1"
"11","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.6","1.2","1.7","2.1","1.4","2.1","3.2","1.4","0.7","0.6","0.1","0.0","0.0","0.0","0.0","0.0","0.0","15.6"
"12","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.8","2.0","2.3","2.6","2.8","1.2","1.1","0.8","0.4","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.600000000000001"
"13","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","0.2","0.2","0.3","0.3","0.2","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.7000000000000002"
"14","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.4","0.6","0.8","1.6","1.7","2.0","1.1","0.6","0.4","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.700000000000001"
"15","0.0","0.0","0.0","0.0","0.0","0.0","0.6","1.3","2.2","2.7","2.6","3.2","3.5","3.0","1.3","0.6","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.300000000000004"
"16","0.0","0.0","0.0","0.0","0.0","0.0","0.6","1.4","2.1","2.5","2.4","2.2","1.9","2.2","1.3","0.8","0.4","0.2","0.0","0.0","0.0","0.0","0.0","0.0","18.0"
"17","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.9","2.1","3.0","1.5","1.9","0.6","0.4","0.6","0.5","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.299999999999999"
"18","0.0","0.0","0.0","0.0","0.0","0.1","0.5","0.7","1.1","2.0","2.8","2.7","2.9","1.0","0.7","0.7","0.5","0.2","0.0","0.0","0.0","0.0","0.0","0.0","15.899999999999999"
"19","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.5","0.9","0.7","0.7","0.9","0.5","0.7","1.0","1.1","0.5","0.1","0.0","0.0","0.0","0.0","0.0","0.0","7.800000000000001"
"20","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.6","1.4","1.5","1.2","1.3","1.3","0.7","0.7","0.6","0.4","0.1","0.0","0.0","0.0","0.0","0.0","0.0","10.099999999999998"
"21","0.0","0.0","0.0","0.0","0.0","0.0","0.4","0.6","0.9","0.7","1.9","2.1","1.2","1.0","0.7","0.7","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.399999999999999"
"22","0.0","0.0","0.0","0.0","0.0","0.0","0.1","1.2","1.6","2.0","2.3","2.8","2.4","1.2","0.2","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.999999999999998"
"23","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.8","1.9","1.6","1.8","1.9","0.5","0.3","0.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.4"
