
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","總和"
"01","0.00","0.00","0.00","0.00","0.00","0.00","0.04","0.20","0.77","0.74","1.49","2.65","2.16","1.72","0.90","0.81","0.23","0.01","0.00","0.00","0.00","0.00","0.00","0.00","11.72"
"02","0.00","0.00","0.00","0.00","0.00","0.00","0.03","0.13","0.36","0.57","0.67","0.69","0.82","0.69","0.40","0.24","0.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.69"
"03","0.00","0.00","0.00","0.00","0.00","0.00","0.15","0.46","0.85","1.95","2.05","1.29","0.74","0.77","0.70","0.41","0.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.49"
"04","0.00","0.00","0.00","0.00","0.00","0.00","0.23","0.89","1.68","2.31","2.77","2.79","2.37","2.25","1.02","0.35","0.03","0.00","0.00","0.01","0.00","0.00","0.00","0.00","16.70"
"05","0.00","0.00","0.00","0.00","0.00","0.00","0.13","0.88","1.66","2.20","2.35","2.64","2.83","2.13","0.88","0.39","0.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.15"
"06","0.00","0.00","0.00","0.00","0.00","0.00","0.07","0.33","0.55","0.81","0.79","1.00","1.50","1.22","0.82","0.48","0.16","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7.73"
"07","0.00","0.00","0.00","0.00","0.00","0.00","0.03","0.16","0.37","1.50","1.11","1.01","1.07","1.52","0.56","0.09","0.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7.46"
"08","0.00","0.00","0.00","0.00","0.00","0.00","0.04","0.26","0.63","0.90","0.47","0.53","0.46","0.73","0.48","0.34","0.12","0.01","0.00","0.00","0.00","0.00","0.00","0.00","4.97"
"09","0.00","0.00","0.00","0.00","0.00","0.00","0.22","0.80","1.43","2.12","2.72","2.78","2.75","2.34","1.39","0.49","0.15","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.19"
"10","0.00","0.00","0.00","0.00","0.00","0.00","0.09","0.27","0.38","1.18","2.34","2.18","1.63","1.24","0.74","0.43","0.18","0.01","0.00","0.00","0.00","0.00","0.00","0.00","10.67"
"11","0.00","0.00","0.00","0.00","0.00","0.00","0.09","0.37","0.81","1.58","1.88","1.57","1.81","1.49","1.62","0.57","0.20","0.01","0.00","0.00","0.00","0.00","0.00","0.00","12.00"
"12","0.00","0.00","0.00","0.00","0.00","0.00","0.04","0.26","0.64","0.96","0.81","0.66","0.75","0.70","0.37","0.11","0.04","0.00","0.00","0.00","0.00","0.00","0.01","0.00","5.35"
"13","0.00","0.00","0.00","0.00","0.00","0.00","0.11","0.38","1.30","2.45","1.59","1.62","2.32","1.97","1.11","0.56","0.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13.58"
"14","0.00","0.00","0.00","0.00","0.00","0.00","0.16","0.85","0.90","0.91","0.40","1.08","1.31","0.82","0.84","0.78","0.25","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8.30"
"15","0.00","0.00","0.00","0.00","0.00","0.00","0.04","0.34","1.12","1.30","1.64","1.09","0.95","0.90","0.57","0.31","0.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8.38"
"16","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.09","0.22","0.41","0.50","1.53","2.78","1.02","0.76","0.57","0.31","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8.21"
"17","0.00","0.00","0.00","0.00","0.00","0.00","0.09","0.77","0.91","2.06","2.35","1.69","2.18","1.86","1.78","0.36","0.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14.15"
"18","0.00","0.00","0.00","0.00","0.00","0.00","0.03","0.14","0.34","0.46","0.63","0.70","0.62","0.57","0.32","0.17","0.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.02"
"19","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.12","0.48","0.61","0.91","0.96","1.05","0.76","0.59","0.25","0.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.81"
"20","0.00","0.00","0.00","0.00","0.00","0.00","0.08","0.36","0.86","1.94","1.47","1.78","1.36","1.12","0.60","0.35","0.13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10.05"
"21","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"22","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"23","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"24","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"25","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"26","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"27","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"28","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"29","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"30","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"總和","0.00","0.00","0.00","0.00","0.00","0.00","1.70","8.06","16.26","26.96","28.94","30.24","31.46","25.82","16.45","8.06","2.61","0.04","0.00","0.01","0.00","0.00","0.01","0.00","總和"
